unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,descriptor_2,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,facility_type,status,due_date,resolution_description,resolution_action_updated_date,community_board,council_district,police_precinct,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,vehicle_type,taxi_company_borough,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,latitude,longitude,location
70099988,2026-08-18T02:20:12.000,,DSNY,Department of Sanitation,Graffiti,Graffiti,,,10002.0,45 RIVINGTON STREET,RIVINGTON STREET,,,,,ADDRESS,NEW YORK,,,Open,,The graffiti has been reported. The property owner will be notified that the City will remove the graffiti after 35 days unless the property owner requests to keep the graffiti or remove it himself or herself.,2026-08-18T02:20:12.000,03 MANHATTAN,1.0,Precinct 5,1004207502.0,MANHATTAN,986738.0,201911.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.720875423620654,-73.99102433685879,POINT (-73.991024336859 40.720875423621)
70101742,2026-08-18T01:51:14.000,,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,,Residential Building/House,11226.0,95 LINDEN BOULEVARD,LINDEN BOULEVARD,BEDFORD AVENUE,ROGERS AVENUE,BEDFORD AVENUE,ROGERS AVENUE,ADDRESS,BROOKLYN,LINDEN BOULEVARD,,In Progress,,,,17 BROOKLYN,40.0,Precinct 67,3050840097.0,BROOKLYN,996734.0,176957.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.65237396331612,-73.95500919151641,POINT (-73.955009191516 40.652373963316)
70095619,2026-08-18T01:50:08.000,,NYPD,New York City Police Department,Animal-Abuse,Other (complaint details),,Park/Playground,10028.0,1000 5 AVENUE,5 AVENUE,EAST 81 STREET,EAST 82 STREET,EAST 81 STREET,EAST 82 STREET,ADDRESS,NEW YORK,5 AVENUE,,In Progress,,,,64 MANHATTAN,6.0,Precinct 22,1011110001.0,MANHATTAN,994623.0,222956.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.77863290127972,-73.96254609596876,POINT (-73.962546095969 40.77863290128)
70095632,2026-08-18T01:49:45.000,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,,Street/Sidewalk,10031.0,556 WEST 141 STREET,WEST 141 STREET,HAMILTON PLACE,BROADWAY,HAMILTON PLACE,BROADWAY,ADDRESS,NEW YORK,WEST 141 STREET,,In Progress,,,,09 MANHATTAN,7.0,Precinct 30,1020720057.0,MANHATTAN,997779.0,239258.0,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.82337315752918,-73.95111784766442,POINT (-73.951117847664 40.823373157529)
70093194,2026-08-18T01:49:06.000,,DEP,Department of Environmental Protection,Noise,Dog,,Residential,10002.0,65 JEFFERSON STREET,JEFFERSON STREET,DEAD END,PEDESTRIAN PATH,DEAD END,PEDESTRIAN PATH,ADDRESS,NEW YORK,JEFFERSON STREET,,In Progress,,,,03 MANHATTAN,1.0,Precinct 7,1002560001.0,MANHATTAN,987477.0,198572.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.71171042976193,-73.98835993470301,POINT (-73.988359934703 40.711710429762)
70100271,2026-08-18T01:49:01.000,,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,,Street/Sidewalk,11235.0,1118 AVENUE Y,AVENUE Y,EAST 11 STREET,EAST 12 STREET,EAST 11 STREET,EAST 12 STREET,ADDRESS,BROOKLYN,AVENUE Y,,In Progress,,,,15 BROOKLYN,48.0,Precinct 61,3074310007.0,BROOKLYN,995567.0,154080.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.58958294517311,-73.95925326662775,POINT (-73.959253266628 40.589582945173)
70101723,2026-08-18T01:48:21.000,,NYPD,New York City Police Department,Noise - Residential,Loud Talking,,Residential Building/House,11234.0,1150 EAST 53 STREET,EAST 53 STREET,AVENUE H,AVENUE I,AVENUE H,AVENUE I,ADDRESS,BROOKLYN,EAST 53 STREET,,In Progress,,,,18 BROOKLYN,45.0,Precinct 63,3077560076.0,BROOKLYN,1004990.0,169280.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.631286766133385,-73.92527918930374,POINT (-73.925279189304 40.631286766133)
70102325,2026-08-18T01:48:16.000,,DPR,Department of Parks and Recreation,Damaged Tree,Tree Alive - in Poor Condition,Hollow,Street,10452.0,100 WEST 163 STREET,WEST 163 STREET,WOODYCREST AVENUE,OGDEN AVENUE,WOODYCREST AVENUE,OGDEN AVENUE,ADDRESS,BRONX,WEST 163 STREET,,In Progress,,,,04 BRONX,16.0,Precinct 44,2025110064.0,BRONX,1003804.0,242458.0,PHONE,Unspecified,BRONX,,,,,,,,40.83214495820546,-73.9293393689272,POINT (-73.929339368927 40.832144958205)
70096159,2026-08-18T01:48:15.000,,NYPD,New York City Police Department,Blocked Driveway,Partial Access,,Street/Sidewalk,11204.0,1520 WEST 1 STREET,WEST 1 STREET,65 STREET,AVENUE P,65 STREET,AVENUE P,ADDRESS,BROOKLYN,WEST 1 STREET,,In Progress,,,,11 BROOKLYN,44.0,Precinct 62,3066050020.0,BROOKLYN,991134.0,161399.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.609676668382335,-73.97520677441199,POINT (-73.975206774412 40.609676668382)
70094960,2026-08-18T01:48:11.000,,NYPD,New York City Police Department,Panhandling,,,Subway,,,,,,,,,,,,In Progress,,,,Unspecified MANHATTAN,,Unspecified,,MANHATTAN,985936.0,201694.0,MOBILE,Unspecified,MANHATTAN,,,,J,,,Mezzanine,40.72028000014199,-73.99391767168628,POINT (-73.993917671686 40.720280000142)
70096996,2026-08-18T01:47:33.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,,Residential Building/House,10308.0,490 ELVERTON AVENUE,ELVERTON AVENUE,GURLEY AVENUE,ARTHUR KILL ROAD,GURLEY AVENUE,ARTHUR KILL ROAD,ADDRESS,STATEN ISLAND,ELVERTON AVENUE,,In Progress,,,,03 STATEN ISLAND,51.0,Precinct 122,5054510032.0,STATEN ISLAND,940581.0,144038.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.56191932435407,-74.15716472391964,POINT (-74.15716472392 40.561919324354)
70095571,2026-08-18T01:47:33.000,,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,,Street/Sidewalk,11370.0,31-18 81 STREET,81 STREET,31 AVENUE,32 AVENUE,31 AVENUE,32 AVENUE,ADDRESS,EAST ELMHURST,81 STREET,,In Progress,,,,03 QUEENS,25.0,Precinct 115,4011510017.0,QUEENS,1015584.0,215713.0,MOBILE,Unspecified,QUEENS,,,,,,,,40.75870331161867,-73.88689580859412,POINT (-73.886895808594 40.758703311619)
70092811,2026-08-18T01:47:19.000,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,,Street/Sidewalk,10026.0,155 WEST 117 STREET,WEST 117 STREET,LENOX AVENUE,ADAM CLAYTON POWELL JR BOULEVARD,LENOX AVENUE,ADAM CLAYTON POWELL JR BOULEVARD,ADDRESS,NEW YORK,WEST 117 STREET,,In Progress,,,,10 MANHATTAN,9.0,Precinct 28,1019020006.0,MANHATTAN,997770.0,232032.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.80353982047719,-73.95116492130215,POINT (-73.951164921302 40.803539820477)
70098332,2026-08-18T01:46:44.000,,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,,Street/Sidewalk,11370.0,80-01 32 AVENUE,32 AVENUE,80 STREET,81 STREET,80 STREET,81 STREET,ADDRESS,EAST ELMHURST,32 AVENUE,,In Progress,,,,03 QUEENS,25.0,Precinct 115,4011510039.0,QUEENS,1015424.0,215278.0,MOBILE,Unspecified,QUEENS,,,,,,,,40.75750991435137,-73.88747536600178,POINT (-73.887475366002 40.757509914351)
70099750,2026-08-18T01:44:21.000,,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,,Residential Building/House,10305.0,20 FATHER CAPODANNO BOULEVARD,FATHER CAPODANNO BOULEVARD,LILY POND AVENUE,ROBIN ROAD,LILY POND AVENUE,ROBIN ROAD,ADDRESS,STATEN ISLAND,FATHER CAPODANNO BOULEVARD,,In Progress,,,,02 STATEN ISLAND,50.0,Precinct 122,5031250116.0,STATEN ISLAND,966982.0,156412.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.59597421974536,-74.06217919709624,POINT (-74.062179197096 40.595974219745)
