unique_key,created_date,complaint_type,descriptor,status,agency,agency_name,incident_zip,city,borough,street_name,latitude,longitude,location
70102325,2026-08-18T01:48:16.000,Damaged Tree,Tree Alive - in Poor Condition,In Progress,DPR,Department of Parks and Recreation,10452.0,BRONX,BRONX,WEST 163 STREET,40.83214495820546,-73.9293393689272,POINT (-73.929339368927 40.832144958205)
70100358,2026-08-18T01:41:39.000,Street Condition,Cave-in,In Progress,DOT,Department of Transportation,10013.0,,MANHATTAN,6 AVENUE,40.7229781473266,-74.00505798904624,POINT (-74.005057989046 40.722978147327)
70099851,2026-08-18T01:08:14.000,Dirty Condition,Trash,In Progress,DSNY,Department of Sanitation,10065.0,NEW YORK,MANHATTAN,EAST 64 STREET,40.76238002573501,-73.958819061364,POINT (-73.958819061364 40.762380025735)
70101542,2026-08-18T00:57:37.000,Water Maintenance,Fire Hydrant Running Full,In Progress,DEP,Department of Environmental Protection,11691.0,FAR ROCKAWAY,QUEENS,NAMEOKE AVENUE,40.60782690726845,-73.75274776407169,POINT (-73.752747764072 40.607826907268)
70094577,2026-08-18T00:53:01.000,Water Maintenance,Fire Hydrant Running,In Progress,DEP,Department of Environmental Protection,11220.0,BROOKLYN,BROOKLYN,61 STREET,40.639519330775215,-74.01777450300101,POINT (-74.017774503001 40.639519330775)
70097782,2026-08-18T00:50:00.000,Street Light Condition,Street Light Out,Open,DOT,Department of Transportation,11691.0,FAR ROCKAWAY,QUEENS,BEACH   22 STREET,40.59943801609722,-73.75624662515791,POINT (-73.756246625158 40.599438016097)
70098548,2026-08-18T00:47:00.000,Traffic Signal Condition,Controller,Open,DOT,Department of Transportation,11221.0,BROOKLYN,BROOKLYN,,40.68910298741162,-73.94505746759266,POINT (-73.945057467593 40.689102987412)
70094984,2026-08-18T00:46:00.000,Street Light Condition,Street Light Out,Open,DOT,Department of Transportation,10302.0,STATEN ISLAND,STATEN ISLAND,,40.6338992214576,-74.13774175381523,POINT (-74.137741753815 40.633899221458)
70091787,2026-08-18T00:44:17.000,Sewer Maintenance,Catch Basin Clogged,In Progress,DEP,Department of Environmental Protection,11204.0,BROOKLYN,BROOKLYN,17 AVENUE,40.62939121197443,-73.9832081115384,POINT (-73.983208111538 40.629391211974)
70097783,2026-08-18T00:43:00.000,Street Light Condition,Street Light Lamp Dim,Open,DOT,Department of Transportation,11375.0,FOREST HILLS,QUEENS,108 STREET,40.73397777758245,-73.85012595139597,POINT (-73.850125951396 40.733977777582)
70093399,2026-08-18T00:35:46.000,Street Condition,Blocked - Construction,In Progress,DOT,Department of Transportation,10454.0,BRONX,BRONX,ALEXANDER AVENUE,40.808908815253446,-73.92599371078327,POINT (-73.925993710783 40.808908815253)
70100973,2026-08-18T00:32:32.000,Damaged Tree,Branch or Limb Has Fallen Down,In Progress,DPR,Department of Parks and Recreation,11427.0,,QUEENS,86 ROAD,40.724340398806085,-73.76185086102042,POINT (-73.76185086102 40.724340398806)
70092160,2026-08-18T00:30:07.000,Sidewalk Condition,Broken Sidewalk,In Progress,DOT,Department of Transportation,10022.0,NEW YORK,MANHATTAN,EAST 54 STREET,40.75787329571007,-73.96788551750294,POINT (-73.967885517503 40.75787329571)
70093149,2026-08-18T00:28:42.000,Water Maintenance,Fire Hydrant Running Full,In Progress,DEP,Department of Environmental Protection,11216.0,,BROOKLYN,MADISON STREET,,,
70097777,2026-08-18T00:28:00.000,Street Light Condition,Street Light Out,Open,DOT,Department of Transportation,10472.0,BRONX,BRONX,EAST  172 STREET,40.83116394628403,-73.88116799362258,POINT (-73.881167993623 40.831163946284)
70096442,2026-08-18T00:21:00.000,Street Light Condition,Street Light Out,Open,DOT,Department of Transportation,10029.0,NEW YORK,MANHATTAN,EAST  111 STREET,40.79638209079991,-73.94616800349056,POINT (-73.946168003491 40.7963820908)
70098691,2026-08-18T00:15:43.000,Water Maintenance,Dirty Water,In Progress,DEP,Department of Environmental Protection,10025.0,NEW YORK,MANHATTAN,WEST 107 STREET,40.80188763516674,-73.96702991704478,POINT (-73.967029917045 40.801887635167)
70097120,2026-08-18T00:13:48.000,Illegal Dumping,Removal Request,In Progress,DSNY,Department of Sanitation,10465.0,BRONX,BRONX,FAIRMOUNT AVENUE,40.83639503924012,-73.81956056030671,POINT (-73.819560560307 40.83639503924)
70098144,2026-08-18T00:08:22.000,Damaged Tree,Branch or Limb Has Fallen Down,In Progress,DPR,Department of Parks and Recreation,11229.0,BROOKLYN,BROOKLYN,EAST 26 STREET,40.59627155828905,-73.94496821383059,POINT (-73.944968213831 40.596271558289)
70098714,2026-08-18T00:06:46.000,Sewer Maintenance,Catch Basin Sunken,In Progress,DEP,Department of Environmental Protection,10013.0,,MANHATTAN,6 AVENUE,40.722253490440224,-74.00591294857915,POINT (-74.005912948579 40.72225349044)
70101375,2026-08-18T00:04:10.000,Street Condition,Pothole,Open,DOT,Department of Transportation,11691.0,QUEENS,QUEENS,AUGUSTINA AVENUE,,,
70093429,2026-08-18T00:01:15.000,Street Condition,Cave-in,In Progress,DOT,Department of Transportation,11373.0,,QUEENS,ANKENER AVENUE,40.73388582655899,-73.88468996994405,POINT (-73.884689969944 40.733885826559)
70095801,2026-08-18T00:01:00.000,Traffic Signal Condition,Controller,Open,DOT,Department of Transportation,10303.0,STATEN ISLAND,STATEN ISLAND,,40.62491266759044,-74.14670038715856,POINT (-74.146700387159 40.62491266759)
70095047,2026-08-17T23:59:30.000,WATER LEAK,SLOW LEAK,Open,HPD,Department of Housing Preservation and Development,11203.0,BROOKLYN,BROOKLYN,NEW YORK AVENUE,40.64660340264543,-73.94622758784209,POINT (-73.946227587842 40.646603402645)
70102012,2026-08-17T23:58:06.000,WATER LEAK,SLOW LEAK,Open,HPD,Department of Housing Preservation and Development,11377.0,WOODSIDE,QUEENS,53 STREET,40.74539621456417,-73.91133268876624,POINT (-73.911332688766 40.745396214564)
70099145,2026-08-17T23:57:00.000,Street Light Condition,Street Light Cycling,Open,DOT,Department of Transportation,11235.0,BROOKLYN,BROOKLYN,,40.586670205401575,-73.96614967980308,POINT (-73.966149679803 40.586670205402)
70097885,2026-08-17T23:55:37.000,UNSANITARY CONDITION,PESTS,Open,HPD,Department of Housing Preservation and Development,11209.0,BROOKLYN,BROOKLYN,4 AVENUE,40.63201932039683,-74.02457094829289,POINT (-74.024570948293 40.632019320397)
70093695,2026-08-17T23:55:37.000,UNSANITARY CONDITION,PESTS,Open,HPD,Department of Housing Preservation and Development,11209.0,BROOKLYN,BROOKLYN,4 AVENUE,40.63201932039683,-74.02457094829289,POINT (-74.024570948293 40.632019320397)
70099234,2026-08-17T23:55:37.000,UNSANITARY CONDITION,PESTS,Open,HPD,Department of Housing Preservation and Development,11209.0,BROOKLYN,BROOKLYN,4 AVENUE,40.63201932039683,-74.02457094829289,POINT (-74.024570948293 40.632019320397)
70097760,2026-08-17T23:55:30.000,Sidewalk Condition,Broken Sidewalk,In Progress,DOT,Department of Transportation,11201.0,BROOKLYN,BROOKLYN,JAY STREET,40.694497883540905,-73.98719815185564,POINT (-73.987198151856 40.694497883541)
70099247,2026-08-17T23:55:30.000,UNSANITARY CONDITION,PESTS,Open,HPD,Department of Housing Preservation and Development,11205.0,BROOKLYN,BROOKLYN,WILLOUGHBY AVENUE,40.69168478720541,-73.97300907274183,POINT (-73.973009072742 40.691684787205)
70096582,2026-08-17T23:55:18.000,UNSANITARY CONDITION,MOLD,Open,HPD,Department of Housing Preservation and Development,10466.0,BRONX,BRONX,EAST  223 STREET,40.88600130183341,-73.8599818920305,POINT (-73.85998189203 40.886001301833)
70095738,2026-08-17T23:52:06.000,Dirty Condition,Trash,In Progress,DSNY,Department of Sanitation,11235.0,BROOKLYN,BROOKLYN,DESMOND COURT,40.59111693278253,-73.95826217332942,POINT (-73.958262173329 40.591116932783)
70096433,2026-08-17T23:51:00.000,Street Light Condition,Street Light Out,Open,DOT,Department of Transportation,10011.0,MANHATTAN,MANHATTAN,WEST   16 STREET,,,
70102107,2026-08-17T23:49:07.000,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,Open,HPD,Department of Housing Preservation and Development,11101.0,LONG ISLAND CITY,QUEENS,51 AVENUE,40.74241106624203,-73.95630888924859,POINT (-73.956308889249 40.742411066242)
70098176,2026-08-17T23:48:44.000,Damaged Tree,Branch or Limb Has Fallen Down,In Progress,DPR,Department of Parks and Recreation,11415.0,KEW GARDENS,QUEENS,124 STREET,40.70347643696246,-73.82747626012376,POINT (-73.827476260124 40.703476436962)
70098947,2026-08-17T23:46:13.000,Street Condition,Plate Condition - Noisy,In Progress,DOT,Department of Transportation,11230.0,BROOKLYN,BROOKLYN,EAST 2 STREET,40.61469090942215,-73.9729969821638,POINT (-73.972996982164 40.614690909422)
70100619,2026-08-17T23:43:19.000,WATER LEAK,HEAVY FLOW,Open,HPD,Department of Housing Preservation and Development,11237.0,BROOKLYN,BROOKLYN,ELDERT STREET,40.693573911065066,-73.90632420763075,POINT (-73.906324207631 40.693573911065)
70099972,2026-08-17T23:35:00.000,Traffic Signal Condition,Controller,Open,DOT,Department of Transportation,10303.0,STATEN ISLAND,STATEN ISLAND,,40.62491266759044,-74.14670038715856,POINT (-74.146700387159 40.62491266759)
